order_id,created_at,website_session_id,user_id,primary_product_id,items_purchased,price_usd,cogs_usd,Profit,year,month,day,hour,day_of_week
1,2012-03-19 10:42:00,20,20,1,1,49.99,19.49,30.500000000000004,2012,3,19,10,0
2,2012-03-19 19:27:00,104,104,1,1,49.99,19.49,30.500000000000004,2012,3,19,19,0
3,2012-03-20 06:44:00,147,147,1,1,49.99,19.49,30.500000000000004,2012,3,20,6,1
4,2012-03-20 09:41:00,160,160,1,1,49.99,19.49,30.500000000000004,2012,3,20,9,1
5,2012-03-20 11:28:00,177,177,1,1,49.99,19.49,30.500000000000004,2012,3,20,11,1
6,2012-03-20 16:12:00,232,232,1,1,49.99,19.49,30.500000000000004,2012,3,20,16,1
7,2012-03-20 17:03:00,241,241,1,1,49.99,19.49,30.500000000000004,2012,3,20,17,1
8,2012-03-20 23:35:00,295,295,1,1,49.99,19.49,30.500000000000004,2012,3,20,23,1
9,2012-03-21 02:35:00,304,304,1,1,49.99,19.49,30.500000000000004,2012,3,21,2,2
10,2012-03-21 06:45:00,317,317,1,1,49.99,19.49,30.500000000000004,2012,3,21,6,2
11,2012-03-21 07:28:00,321,321,1,1,49.99,19.49,30.500000000000004,2012,3,21,7,2
12,2012-03-21 08:21:00,327,327,1,1,49.99,19.49,30.500000000000004,2012,3,21,8,2
13,2012-03-21 08:45:00,332,332,1,1,49.99,19.49,30.500000000000004,2012,3,21,8,2
14,2012-03-21 09:12:00,336,336,1,1,49.99,19.49,30.500000000000004,2012,3,21,9,2
15,2012-03-21 16:40:00,428,428,1,1,49.99,19.49,30.500000000000004,2012,3,21,16,2
16,2012-03-21 17:13:00,434,434,1,1,49.99,19.49,30.500000000000004,2012,3,21,17,2
17,2012-03-21 20:28:00,465,465,1,1,49.99,19.49,30.500000000000004,2012,3,21,20,2
18,2012-03-22 06:15:00,507,507,1,1,49.99,19.49,30.500000000000004,2012,3,22,6,3
19,2012-03-22 10:03:00,536,536,1,1,49.99,19.49,30.500000000000004,2012,3,22,10,3
20,2012-03-22 17:49:00,615,615,1,1,49.99,19.49,30.500000000000004,2012,3,22,17,3
21,2012-03-22 20:33:00,639,639,1,1,49.99,19.49,30.500000000000004,2012,3,22,20,3
22,2012-03-23 12:09:00,732,732,1,1,49.99,19.49,30.500000000000004,2012,3,23,12,4
23,2012-03-23 14:16:00,750,750,1,1,49.99,19.49,30.500000000000004,2012,3,23,14,4
24,2012-03-23 17:14:00,783,783,1,1,49.99,19.49,30.500000000000004,2012,3,23,17,4
25,2012-03-24 09:21:00,844,844,1,1,49.99,19.49,30.500000000000004,2012,3,24,9,5
26,2012-03-25 08:32:00,908,908,1,1,49.99,19.49,30.500000000000004,2012,3,25,8,6
27,2012-03-25 08:51:00,909,909,1,1,49.99,19.49,30.500000000000004,2012,3,25,8,6
28,2012-03-25 16:00:00,940,940,1,1,49.99,19.49,30.500000000000004,2012,3,25,16,6
29,2012-03-25 21:23:00,954,954,1,1,49.99,19.49,30.500000000000004,2012,3,25,21,6
30,2012-03-26 10:03:00,1018,1016,1,1,49.99,19.49,30.500000000000004,2012,3,26,10,0
31,2012-03-26 10:25:00,1023,1021,1,1,49.99,19.49,30.500000000000004,2012,3,26,10,0
32,2012-03-26 14:13:00,1059,1055,1,1,49.99,19.49,30.500000000000004,2012,3,26,14,0
33,2012-03-26 16:00:00,1081,1077,1,1,49.99,19.49,30.500000000000004,2012,3,26,16,0
34,2012-03-26 17:55:00,1094,1090,1,1,49.99,19.49,30.500000000000004,2012,3,26,17,0
35,2012-03-26 18:06:00,1098,1094,1,1,49.99,19.49,30.500000000000004,2012,3,26,18,0
36,2012-03-26 18:54:00,1105,1101,1,1,49.99,19.49,30.500000000000004,2012,3,26,18,0
37,2012-03-26 19:19:00,1107,1103,1,1,49.99,19.49,30.500000000000004,2012,3,26,19,0
38,2012-03-26 21:13:00,1125,1121,1,1,49.99,19.49,30.500000000000004,2012,3,26,21,0
39,2012-03-27 15:18:00,1243,1238,1,1,49.99,19.49,30.500000000000004,2012,3,27,15,1
40,2012-03-27 16:53:00,1256,1251,1,1,49.99,19.49,30.500000000000004,2012,3,27,16,1
41,2012-03-28 08:30:00,1330,1325,1,1,49.99,19.49,30.500000000000004,2012,3,28,8,2
42,2012-03-28 09:56:00,1343,1337,1,1,49.99,19.49,30.500000000000004,2012,3,28,9,2
43,2012-03-28 16:55:00,1419,1412,1,1,49.99,19.49,30.500000000000004,2012,3,28,16,2
44,2012-03-28 21:24:00,1454,1447,1,1,49.99,19.49,30.500000000000004,2012,3,28,21,2
45,2012-03-28 22:45:00,1463,1456,1,1,49.99,19.49,30.500000000000004,2012,3,28,22,2
46,2012-03-29 16:11:00,1581,1574,1,1,49.99,19.49,30.500000000000004,2012,3,29,16,3
